,label,channels,delivery_method,show_map,user_type,has_logo,org_facebook,sale_duration,sale_duration2,event_created_to_end,num_ticket_type,median_ticket_cost,total_tickets_sold,nan_delivery_method,nan_org_facebook,nan_num_ticket_type,nan_median_ticket_cost,payout_type_CHECK,payout_type_MISSING
115,Not Fraud,5,0.0,1,3,1,0.0,13.0,13,13,4.0,17.0,6,False,False,False,False,0,0
128,Fraud,0,0.0,1,1,1,0.0,9.0,9,11,2.0,300.0,9,False,False,False,False,0,0
130,Fraud,6,0.0,0,3,1,0.0,0.0,0,1,1.0,140.76,1,False,False,False,False,0,0
131,Fraud,11,0.0,1,1,1,0.0,4.0,4,4,3.0,350.0,3,False,False,False,False,0,0
136,Not Fraud,11,0.0,1,4,1,0.0,10.0,10,10,2.0,0.0,2,False,False,False,False,1,0
140,Fraud,6,0.0,0,3,1,0.0,1.0,1,1,1.0,140.76,3,False,False,False,False,0,0
144,Fraud,13,0.0,1,1,1,0.0,5.0,5,7,7.0,190.0,2,False,False,False,False,0,0
149,Fraud,5,0.0,1,1,0,0.0,-3.0,0,-1,2.0,91.875,0,False,False,False,False,0,0
154,Not Fraud,0,0.0,1,4,0,18.0,0.0,0,10,8.0,75.0,16,False,False,False,False,0,0
161,Fraud,5,0.0,1,1,0,0.0,11.0,11,11,1.0,8.46,1,False,False,False,False,0,0
168,Not Fraud,0,0.0,1,3,1,11.0,4.0,4,4,1.0,25.0,5,False,False,False,False,0,0
171,Not Fraud,5,0.0,1,3,1,17.0,12.0,12,12,3.0,10.0,12,False,False,False,False,0,0
176,Not Fraud,0,1.0,1,3,1,0.0,0.0,0,11,17.0,30.0,2,False,False,False,False,0,0
177,Fraud,5,0.0,1,1,1,0.0,1.0,1,0,1.0,100.0,0,False,False,False,False,0,0
181,Fraud,6,0.0,1,1,1,0.0,5.0,5,5,4.0,160.0,0,False,False,False,False,0,0
182,Not Fraud,10,0.0,1,4,1,0.0,5.0,5,5,1.0,5.06,4,False,False,False,False,1,0
183,Fraud,12,0.0,1,1,1,0.0,1.0,1,1,3.0,200.0,4,False,False,False,False,0,1
195,Not Fraud,5,0.0,1,1,1,25.0,7.0,7,7,1.0,15.0,50,False,False,False,False,0,0
197,Not Fraud,10,0.0,1,4,1,20.0,9.0,9,9,1.0,100.0,7,False,False,False,False,0,0
202,Fraud,5,0.0,1,1,1,0.0,1.0,1,4,1.0,100.0,0,False,False,False,False,0,0
206,Fraud,13,0.0,1,4,1,0.0,0.0,0,1,1.0,300.0,6,False,False,False,False,0,0
229,Not Fraud,6,0.0,1,3,1,35.0,14.0,14,14,2.0,3.0,2,False,False,False,False,0,0
231,Not Fraud,5,0.0,1,4,1,0.0,10.0,11,11,1.0,25.0,6,False,False,False,False,1,0
236,Not Fraud,10,1.0,0,3,1,11.0,12.0,12,12,4.0,90.495,5,False,False,False,False,0,0
239,Not Fraud,8,0.0,0,3,1,10.0,9.0,9,9,2.0,2.5,22,False,False,False,False,0,0
242,Not Fraud,11,0.0,1,3,1,20.0,8.0,8,8,2.0,34.445,8,False,False,False,False,0,0
245,Not Fraud,8,1.0,0,4,1,0.0,13.0,13,13,1.0,35.0,8,False,False,False,False,0,0
250,Fraud,5,0.0,1,3,1,0.0,8.0,8,8,1.0,50.0,0,False,False,False,False,0,0
257,Not Fraud,0,0.0,1,3,0,18.0,0.0,2,2,11.0,18.0,1611,False,False,False,False,0,0
262,Fraud,0,0.0,1,1,0,0.0,-1094.0,-1094,1,2.0,2.505,1,False,False,False,False,0,0
263,Fraud,8,0.0,1,1,0,0.0,4.0,4,5,1.0,310.0,0,False,False,False,False,0,0
302,Not Fraud,0,0.0,0,4,1,39.0,4.0,4,5,1.0,332.8,1,False,False,False,False,0,0
307,Fraud,0,0.0,0,3,1,0.0,6.0,6,6,1.0,10.0,0,False,False,False,False,0,1
317,Not Fraud,0,0.0,1,1,1,0.0,0.0,1,1,2.0,65.0,0,False,False,False,False,0,0
318,Fraud,6,0.0,1,1,1,0.0,13.0,13,13,1.0,80.0,4,False,False,False,False,0,0
323,Fraud,5,0.0,1,1,1,0.0,2.0,2,2,2.0,52.5,0,False,False,False,False,0,0
336,Not Fraud,8,1.0,1,4,1,12.0,13.0,13,13,1.0,36.81,16,False,False,False,False,1,0
351,Not Fraud,6,1.0,1,1,1,0.0,13.0,13,14,2.0,37.5,70,False,False,False,False,0,0
364,Fraud,11,0.0,0,1,1,0.0,1.0,1,2,1.0,0.0,0,False,False,False,False,0,0
367,Fraud,0,0.0,1,1,1,0.0,3.0,3,4,1.0,0.0,0,False,False,False,False,0,0
372,Not Fraud,6,0.0,1,4,1,51.0,3.0,3,3,1.0,5.0,1,False,False,False,False,1,0
373,Not Fraud,0,0.0,1,4,1,12.0,14.0,14,14,1.0,3.73,49,False,False,False,False,1,0
379,Not Fraud,0,0.0,1,1,1,0.0,14.0,14,14,1.0,20.0,10,False,False,False,False,0,0
380,Not Fraud,6,0.0,1,3,1,32.0,10.0,10,10,1.0,9.95,12,False,False,False,False,1,0
381,Not Fraud,0,0.0,0,1,1,0.0,14.0,14,14,1.0,0.0,1,False,False,False,False,0,0
382,Not Fraud,8,0.0,0,5,1,0.0,13.0,13,13,2.0,55.0,28,False,False,False,False,0,0
389,Not Fraud,0,0.0,1,3,1,6.0,13.0,13,13,2.0,15.0,48,False,False,False,False,0,0
393,Not Fraud,5,1.0,1,3,1,12.0,7.0,7,7,2.0,27.5,600,False,False,False,False,0,0
396,Not Fraud,0,1.0,1,3,1,0.0,8.0,8,10,37.0,250.0,20,False,False,False,False,0,0
399,Not Fraud,4,0.0,1,4,1,12.0,4.0,5,5,1.0,32.0,1,False,False,False,False,0,0
420,Not Fraud,8,1.0,1,4,1,16.0,11.0,11,11,1.0,79.33,2,False,False,False,False,0,0
427,Not Fraud,6,0.0,1,1,1,39.0,10.0,10,10,10.0,11.175,18,False,False,False,False,0,0
429,Not Fraud,11,1.0,1,3,1,0.0,11.0,11,11,1.0,17.91,8,False,False,False,False,1,0
437,Not Fraud,0,0.0,0,4,1,9.0,1.0,1,1,1.0,70.0,1,False,False,False,False,0,0
440,Fraud,5,0.0,1,4,0,0.0,3.0,3,4,3.0,50.0,0,False,False,False,False,0,1
448,Fraud,0,0.0,0,1,1,0.0,1.0,1,0,3.0,20.0,0,False,False,False,False,0,0
452,Not Fraud,6,0.0,1,1,0,0.0,9.0,9,12,1.0,350.0,0,False,False,False,False,0,0
458,Not Fraud,0,0.0,0,1,1,9.0,4.0,4,5,4.0,25.0,7,False,False,False,False,0,0
461,Not Fraud,11,0.0,1,3,1,22.0,4.0,4,9,2.0,8.25,14,False,False,False,False,0,0
463,Fraud,6,0.0,1,1,1,0.0,2.0,2,3,2.0,92.5,0,False,False,False,False,0,0
465,Not Fraud,0,0.0,1,4,1,66.0,9.0,9,9,1.0,23.0,61,False,False,False,False,0,0
470,Not Fraud,0,1.0,1,1,1,0.0,11.0,11,12,3.0,500.0,16,False,False,False,False,0,0
471,Not Fraud,0,0.0,1,3,1,0.0,5.0,5,6,1.0,50.04,2,False,False,False,False,0,0
473,Not Fraud,0,0.0,1,4,1,26.0,0.0,0,5,1.0,112.41,2,False,False,False,False,0,0
474,Not Fraud,5,0.0,0,3,1,27.0,6.0,6,6,1.0,8.46,1,False,False,False,False,0,0
476,Not Fraud,11,1.0,1,4,1,78.0,10.0,10,10,3.0,28.81,24,False,False,False,False,0,0
484,Not Fraud,0,0.0,1,1,0,0.0,2.0,2,2,2.0,37.5,1,False,False,False,False,0,0
487,Fraud,6,0.0,1,1,0,0.0,6.0,6,6,1.0,5.0,0,False,False,False,False,0,1
494,Fraud,0,0.0,1,1,0,0.0,1.0,1,1,1.0,10.0,0,False,False,False,False,0,0
495,Not Fraud,8,0.0,1,1,1,13.0,6.0,6,6,1.0,5.0,1,False,False,False,False,0,0
496,Not Fraud,8,0.0,1,1,1,20.0,3.0,3,3,4.0,0.0,57,False,False,False,False,0,0
499,Fraud,0,0.0,1,1,0,0.0,1.0,1,1,1.0,60.0,0,False,False,False,False,0,0
502,Not Fraud,8,1.0,0,4,1,0.0,12.0,12,12,1.0,39.0,2,False,False,False,False,1,0
505,Not Fraud,4,0.0,0,3,1,0.0,8.0,10,10,2.0,22.5,4,False,False,False,False,0,0
512,Not Fraud,5,0.0,1,3,1,8.0,4.0,4,4,1.0,20.0,2,False,False,False,False,1,0
529,Not Fraud,8,1.0,1,4,1,0.0,6.0,6,6,2.0,11.38,22,False,False,False,False,1,0
542,Not Fraud,6,0.0,1,3,1,0.0,4.0,4,4,1.0,15.0,22,False,False,False,False,1,0
545,Fraud,0,0.0,0,1,1,0.0,2.0,2,2,1.0,0.0,0,False,False,False,False,0,0
552,Fraud,5,1.0,0,3,1,8.0,10.0,10,10,1.0,0.0,1,False,False,False,False,0,0
556,Fraud,6,0.0,0,1,1,0.0,2.0,2,3,1.0,78.99,5,False,False,False,False,0,0
568,Fraud,8,0.0,0,1,1,0.0,1.0,1,1,1.0,85.0,0,False,False,False,False,0,0
569,Fraud,6,0.0,0,1,1,0.0,1.0,1,2,1.0,84.99,3,False,False,False,False,0,0
580,Not Fraud,6,0.0,1,3,0,15.0,10.0,11,11,1.0,20.0,162,False,False,False,False,0,0
582,Not Fraud,12,0.0,1,3,1,0.0,7.0,7,7,1.0,16.0,50,False,False,False,False,0,0
595,Not Fraud,6,0.0,1,1,1,0.0,8.0,8,8,2.0,12.5,15,False,False,False,False,0,0
598,Fraud,0,0.0,0,1,1,0.0,1.0,1,1,1.0,0.0,0,False,False,False,False,0,0
599,Fraud,6,0.0,1,1,0,0.0,3.0,3,5,1.0,0.0,1,False,False,False,False,0,0
602,Fraud,4,0.0,1,1,1,0.0,5.0,5,8,1.0,65.78,0,False,False,False,False,0,0
603,Fraud,6,0.0,0,1,0,0.0,0.0,0,0,1.0,100.0,5,False,False,False,False,0,0
608,Fraud,0,0.0,0,1,1,0.0,1.0,1,1,1.0,0.0,0,False,False,False,False,0,0
610,Fraud,0,0.0,0,1,1,999.0,1.0,1,1,1.0,0.0,0,False,True,False,False,0,0
618,Not Fraud,12,1.0,1,3,1,15.0,2.0,2,2,1.0,3.73,112,False,False,False,False,1,0
621,Fraud,11,0.0,1,1,1,0.0,2.0,2,4,2.0,325.0,8,False,False,False,False,0,0
623,Fraud,0,0.0,1,1,1,0.0,6.0,6,9,7.0,50.0,5,False,False,False,False,0,0
627,Fraud,4,0.0,1,3,0,0.0,0.0,1,1,4.0,800.0,15,False,False,False,False,0,1
634,Fraud,6,0.0,0,3,1,0.0,0.0,0,1,1.0,140.76,2,False,False,False,False,0,0
638,Fraud,0,0.0,1,3,0,0.0,0.0,0,0,1.0,188.01,11,False,False,False,False,0,0
646,Not Fraud,0,0.0,1,4,1,0.0,14.0,14,14,1.0,27.21,1,False,False,False,False,0,0
650,Fraud,4,0.0,1,1,0,0.0,4.0,4,5,3.0,150.0,3,False,False,False,False,0,0
651,Fraud,5,0.0,1,1,1,0.0,1.0,1,1,4.0,200.0,1,False,False,False,False,0,0
655,Not Fraud,5,0.0,1,4,0,0.0,7.0,7,7,2.0,5.0,10,False,False,False,False,0,0
657,Fraud,4,0.0,1,1,1,0.0,9.0,9,10,3.0,35.0,0,False,False,False,False,0,0
687,Fraud,0,0.0,1,1,0,0.0,2.0,2,2,4.0,465.0,0,False,False,False,False,0,0
697,Fraud,5,0.0,0,1,1,0.0,1.0,1,2,1.0,75.0,0,False,False,False,False,0,0
699,Not Fraud,0,0.0,1,4,1,0.0,0.0,0,0,1.0,150.0,1,False,False,False,False,1,0
710,Not Fraud,4,0.0,1,4,1,0.0,9.0,9,9,2.0,27.5,109,False,False,False,False,0,0
711,Not Fraud,0,0.0,0,4,1,0.0,12.0,12,12,1.0,41.53,10,False,False,False,False,0,0
714,Not Fraud,6,0.0,1,3,1,0.0,9.0,9,9,1.0,9.95,3,False,False,False,False,1,0
720,Not Fraud,12,3.0,1,3,1,0.0,8.0,8,8,2.0,25.0,31,False,False,False,False,0,0
726,Not Fraud,0,0.0,1,4,1,0.0,0.0,0,0,1.0,140.0,1,False,False,False,False,1,0
731,Not Fraud,12,0.0,1,1,1,17.0,13.0,13,14,1.0,7.5,65,False,False,False,False,0,0
736,Fraud,11,0.0,1,1,1,0.0,10.0,10,10,1.0,490.0,0,False,False,False,False,0,0
737,Fraud,0,0.0,0,1,1,0.0,0.0,0,0,2.0,125.0,1,False,False,False,False,0,0
744,Fraud,10,0.0,1,1,1,0.0,2.0,2,1,1.0,250.0,0,False,False,False,False,1,0
749,Fraud,5,0.0,1,1,0,0.0,999.0,3,3,999.0,999.0,0,False,False,True,True,0,1
751,Not Fraud,4,1.0,1,3,1,0.0,12.0,12,13,3.0,15.0,345,False,False,False,False,0,0
755,Fraud,8,0.0,1,4,1,0.0,4.0,4,4,2.0,14.39,0,False,False,False,False,0,0
761,Not Fraud,6,1.0,0,3,1,15.0,14.0,14,14,3.0,15.0,9,False,False,False,False,0,0
771,Fraud,8,0.0,1,1,1,0.0,4.0,4,5,1.0,98.0,0,False,False,False,False,0,0
772,Fraud,0,0.0,1,1,0,0.0,1.0,1,1,1.0,0.0,0,False,False,False,False,0,1
781,Not Fraud,8,0.0,0,4,1,0.0,13.0,13,14,1.0,31.91,2,False,False,False,False,0,0
782,Fraud,8,0.0,1,1,1,0.0,1.0,1,2,2.0,60.0,0,False,False,False,False,0,0
801,Fraud,0,0.0,1,1,1,0.0,0.0,0,1,1.0,150.0,0,False,False,False,False,0,1
802,Not Fraud,8,1.0,1,3,1,25.0,12.0,12,12,3.0,0.0,60,False,False,False,False,0,0
803,Not Fraud,0,0.0,1,3,0,7.0,1.0,1,1,1.0,424.3,1,False,False,False,False,0,0
807,Fraud,12,0.0,1,1,0,0.0,4.0,4,4,1.0,46.26,0,False,False,False,False,0,1
810,Not Fraud,0,0.0,1,1,1,0.0,7.0,7,7,3.0,4.0,24,False,False,False,False,0,0
824,Fraud,0,0.0,0,1,0,0.0,1.0,1,7,2.0,64.99,1,False,False,False,False,0,0
845,Not Fraud,0,0.0,1,4,1,12.0,3.0,3,3,1.0,36.0,31,False,False,False,False,0,0
847,Not Fraud,11,0.0,1,4,1,40.0,13.0,13,13,1.0,6.77,1,False,False,False,False,0,0
853,Not Fraud,11,1.0,0,3,1,0.0,0.0,4,6,1.0,32.25,9,False,False,False,False,0,0
860,Fraud,0,0.0,1,1,1,0.0,5.0,5,7,1.0,250.0,0,False,False,False,False,0,0
866,Not Fraud,4,0.0,1,3,1,12.0,14.0,14,14,1.0,8.46,30,False,False,False,False,1,0
871,Not Fraud,0,0.0,1,4,1,0.0,3.0,3,6,1.0,0.0,11,False,False,False,False,1,0
873,Fraud,10,0.0,1,1,1,0.0,6.0,6,8,1.0,300.0,0,False,False,False,False,0,0
877,Fraud,0,0.0,1,3,0,0.0,3.0,3,3,2.0,15.0,0,False,False,False,False,0,1
879,Not Fraud,8,3.0,1,1,1,0.0,12.0,12,13,1.0,1.18,1,False,False,False,False,0,0
886,Not Fraud,0,0.0,1,3,0,0.0,8.0,8,9,8.0,2.0,95,False,False,False,False,0,0
893,Not Fraud,5,0.0,1,1,1,0.0,8.0,8,9,1.0,1.13,1,False,False,False,False,0,0
903,Not Fraud,8,1.0,1,4,1,16.0,12.0,12,12,2.0,27.355,17,False,False,False,False,0,0
904,Not Fraud,0,0.0,1,3,0,0.0,11.0,11,11,1.0,393.25,1,False,False,False,False,0,0
912,Not Fraud,0,1.0,1,3,1,0.0,3.0,3,3,1.0,0.9,2,False,False,False,False,1,0
917,Not Fraud,8,1.0,1,4,1,0.0,13.0,14,14,2.0,8.75,113,False,False,False,False,0,0
918,Fraud,0,0.0,1,1,1,0.0,0.0,0,0,1.0,50.0,0,False,False,False,False,0,0
942,Not Fraud,11,1.0,1,3,1,0.0,10.0,12,12,4.0,11.0,25,False,False,False,False,0,0
950,Not Fraud,0,0.0,1,3,0,15.0,9.0,9,9,1.0,12.0,2,False,False,False,False,0,0
951,Not Fraud,8,3.0,1,1,1,0.0,9.0,9,12,6.0,29.72,2,False,False,False,False,0,0
952,Not Fraud,0,0.0,0,3,0,22.0,999.0,10,11,1.0,3.0,5,False,False,False,False,0,0
963,Not Fraud,0,0.0,1,3,1,0.0,9.0,11,11,1.0,12.0,40,False,False,False,False,0,0
964,Fraud,0,0.0,1,1,1,0.0,-19.0,-19,10,1.0,15.0,0,False,False,False,False,0,0
966,Not Fraud,8,1.0,0,3,1,0.0,0.0,0,6,8.0,41.535,19,False,False,False,False,1,0
969,Not Fraud,0,0.0,1,3,0,13.0,14.0,14,14,2.0,15.0,13,False,False,False,False,0,0
971,Fraud,0,0.0,1,3,1,0.0,1.0,1,4,1.0,30.0,0,False,False,False,False,0,1
977,Not Fraud,0,0.0,1,1,0,0.0,3.0,3,3,1.0,46.46,1,False,False,False,False,0,0
979,Not Fraud,6,0.0,1,3,1,20.0,6.0,6,6,14.0,25.0,11,False,False,False,False,0,0
987,Not Fraud,8,1.0,1,1,1,0.0,10.0,10,10,2.0,233.355,3,False,False,False,False,0,0
988,Not Fraud,0,0.0,1,1,1,16.0,12.0,13,13,1.0,10.0,11,False,False,False,False,0,0
990,Fraud,0,0.0,1,1,0,0.0,0.0,0,1,1.0,30.0,0,False,False,False,False,0,1
991,Fraud,0,1.0,1,1,0,0.0,5.0,5,5,1.0,200.0,0,False,False,False,False,0,0
992,Not Fraud,0,1.0,1,3,1,0.0,9.0,9,9,1.0,25.0,14,False,False,False,False,1,0
995,Fraud,0,0.0,1,3,0,0.0,1.0,1,0,1.0,50.0,0,False,False,False,False,0,0
996,Fraud,0,0.0,1,1,1,0.0,0.0,0,1,1.0,10.0,0,False,False,False,False,0,0
997,Fraud,5,0.0,1,1,0,0.0,3.0,3,3,1.0,90.0,0,False,False,False,False,0,0
999,Fraud,0,0.0,1,4,1,0.0,3.0,3,3,1.0,30.0,0,False,False,False,False,0,1
1000,Not Fraud,6,0.0,0,4,1,61.0,6.0,6,6,2.0,20.0,23,False,False,False,False,1,0
1011,Fraud,8,0.0,0,1,1,0.0,1.0,1,2,1.0,499.0,2,False,False,False,False,0,0
1021,Not Fraud,8,0.0,0,3,0,0.0,12.0,12,12,1.0,13.19,1,False,False,False,False,1,0
1034,Fraud,5,0.0,0,1,1,0.0,2.0,2,2,2.0,475.0,0,False,False,False,False,0,0
1038,Not Fraud,5,0.0,1,3,1,0.0,5.0,5,6,1.0,25.0,19,False,False,False,False,0,0
1040,Fraud,11,0.0,0,3,0,0.0,0.0,0,0,2.0,250.0,0,False,False,False,False,0,0
1041,Fraud,11,0.0,0,1,1,0.0,1.0,1,1,1.0,0.0,0,False,False,False,False,0,0
1045,Not Fraud,11,0.0,1,3,1,0.0,11.0,11,11,1.0,10.0,34,False,False,False,False,0,0
1050,Not Fraud,12,0.0,1,3,1,15.0,0.0,0,0,2.0,28.195,1,False,False,False,False,1,0
1051,Not Fraud,11,1.0,1,3,1,0.0,14.0,14,14,3.0,10.0,17,False,False,False,False,0,0
1053,Fraud,13,0.0,0,1,0,0.0,1.0,1,1,1.0,35.0,0,False,False,False,False,0,0
1066,Not Fraud,6,0.0,0,1,1,0.0,13.0,13,13,1.0,0.0,8,False,False,False,False,0,0
1075,Not Fraud,8,0.0,1,3,1,0.0,11.0,11,12,2.0,34.445,23,False,False,False,False,1,0
1082,Fraud,8,0.0,1,1,1,17.0,1.0,1,1,1.0,0.0,0,False,False,False,False,0,1
1083,Not Fraud,5,0.0,1,1,1,0.0,13.0,13,13,1.0,15.0,30,False,False,False,False,1,0
1086,Not Fraud,8,0.0,1,4,1,11.0,14.0,14,14,2.0,17.5,15,False,False,False,False,0,0
1089,Not Fraud,5,0.0,1,3,0,0.0,8.0,8,8,1.0,10.0,6,False,False,False,False,0,0
1090,Not Fraud,8,0.0,1,1,1,16.0,5.0,5,6,1.0,25.0,2,False,False,False,False,0,0
1096,Fraud,0,0.0,0,3,1,0.0,1.0,1,1,3.0,10.0,3,False,False,False,False,0,0
1106,Fraud,0,0.0,0,1,1,0.0,4.0,4,4,1.0,0.0,0,False,False,False,False,0,1
1110,Fraud,0,0.0,1,1,0,0.0,1.0,1,2,1.0,0.0,0,False,False,False,False,0,1
1112,Not Fraud,6,0.0,1,1,0,16.0,9.0,13,13,2.0,29.01,19,False,False,False,False,1,0
1114,Not Fraud,5,0.0,1,4,0,18.0,14.0,14,14,1.0,75.0,35,False,False,False,False,1,0
1116,Not Fraud,5,0.0,1,3,1,17.0,10.0,10,10,1.0,55.0,17,False,False,False,False,1,0
1118,Not Fraud,11,0.0,1,4,1,0.0,7.0,7,7,1.0,27.36,15,False,False,False,False,0,0
1121,Fraud,6,0.0,1,3,1,0.0,2.0,2,2,1.0,1200.0,1,False,False,False,False,0,0
1122,Fraud,0,0.0,0,1,1,999.0,1.0,1,2,1.0,0.0,0,False,True,False,False,0,1
1133,Not Fraud,11,1.0,1,3,1,0.0,11.0,11,12,1.0,36.81,50,False,False,False,False,1,0
1134,Not Fraud,8,0.0,0,1,1,0.0,9.0,14,14,1.0,960.05,4,False,False,False,False,0,0
1144,Not Fraud,0,3.0,1,3,1,0.0,4.0,4,5,1.0,15.0,1,False,False,False,False,0,0
1147,Fraud,0,0.0,1,1,1,0.0,3.0,3,3,2.0,90.0,415,False,False,False,False,0,0
1151,Fraud,0,0.0,1,1,1,0.0,0.0,0,0,2.0,225.0,6,False,False,False,False,0,0
1154,Not Fraud,4,0.0,1,4,0,0.0,8.0,9,9,1.0,10.0,99,False,False,False,False,1,0
1162,Not Fraud,6,0.0,1,3,1,0.0,3.0,3,3,6.0,66.7,2,False,False,False,False,1,0
1166,Fraud,5,0.0,0,1,1,0.0,1.0,1,1,1.0,50.0,1,False,False,False,False,0,0
1175,Not Fraud,0,1.0,1,4,1,0.0,10.0,10,10,3.0,17.91,10,False,False,False,False,0,0
1181,Not Fraud,8,0.0,1,4,1,0.0,8.0,8,8,1.0,8.46,79,False,False,False,False,0,0
1184,Not Fraud,0,0.0,1,4,0,9.0,0.0,0,0,3.0,55.71,2,False,False,False,False,0,0
1186,Not Fraud,11,0.0,1,3,1,14.0,8.0,8,8,2.0,5.0,11,False,False,False,False,0,0
1189,Not Fraud,0,1.0,0,3,0,0.0,4.0,7,7,8.0,0.0,70,False,False,False,False,0,0
1204,Fraud,0,0.0,1,4,1,0.0,1.0,1,1,1.0,100.0,0,False,False,False,False,0,0
1206,Fraud,5,0.0,1,1,1,0.0,5.0,5,5,1.0,145.0,0,False,False,False,False,0,0
1212,Not Fraud,11,0.0,1,4,1,0.0,3.0,3,3,1.0,10.0,3,False,False,False,False,1,0
1215,Not Fraud,0,0.0,1,1,1,0.0,5.0,5,5,1.0,15.0,1,False,False,False,False,0,0
1222,Not Fraud,13,0.0,0,1,0,11.0,4.0,5,5,1.0,13.18,4,False,False,False,False,0,0
1231,Not Fraud,11,1.0,1,3,1,14.0,4.0,5,5,5.0,36.81,17,False,False,False,False,0,0
1234,Not Fraud,11,0.0,0,1,1,9.0,14.0,14,14,4.0,10.35,17,False,False,False,False,0,0
1236,Fraud,0,0.0,1,1,1,0.0,4.0,4,5,2.0,125.0,0,False,False,False,False,0,0
1241,Fraud,4,0.0,1,1,1,0.0,3.0,3,3,3.0,25.0,0,False,False,False,False,0,0
1246,Not Fraud,11,0.0,1,3,1,0.0,8.0,8,8,2.0,12.5,83,False,False,False,False,0,0
1247,Not Fraud,6,1.0,1,1,1,20.0,4.0,4,4,2.0,15.5,41,False,False,False,False,0,0
1249,Fraud,5,0.0,1,1,1,23.0,3.0,3,3,3.0,40.0,0,False,False,False,False,0,1
1252,Not Fraud,5,0.0,1,1,1,0.0,6.0,6,6,1.0,10.0,27,False,False,False,False,0,0
1255,Fraud,11,0.0,1,1,1,0.0,4.0,4,4,2.0,42.5,0,False,False,False,False,0,0
1258,Not Fraud,0,0.0,1,1,0,0.0,7.0,7,7,1.0,375.0,1,False,False,False,False,1,0
1266,Fraud,6,0.0,1,1,1,0.0,14.0,14,14,2.0,125.0,0,False,False,False,False,0,0
1272,Not Fraud,8,0.0,1,4,1,0.0,3.0,3,4,1.0,0.0,1,False,False,False,False,0,0
1288,Not Fraud,5,0.0,1,3,1,0.0,7.0,7,7,1.0,30.0,4,False,False,False,False,0,0
1292,Fraud,0,0.0,1,1,0,0.0,1.0,1,1,1.0,0.0,0,False,False,False,False,0,1
1295,Not Fraud,8,0.0,1,1,1,0.0,9.0,9,9,1.0,6.57,40,False,False,False,False,0,0
1312,Not Fraud,5,0.0,1,4,1,0.0,2.0,2,2,1.0,0.0,0,False,False,False,False,0,0
1315,Not Fraud,5,1.0,1,3,1,0.0,10.0,10,10,8.0,39.0,6,False,False,False,False,1,0
1317,Not Fraud,8,0.0,1,3,0,0.0,9.0,10,10,2.0,4.23,25,False,False,False,False,0,0
1320,Not Fraud,12,0.0,0,4,1,0.0,0.0,0,7,2.0,0.0,11,False,False,False,False,0,0
1329,Not Fraud,5,0.0,1,1,1,0.0,9.0,9,10,2.0,0.0,103,False,False,False,False,0,0
1343,Not Fraud,8,1.0,1,1,1,43.0,11.0,11,11,1.0,41.53,1,False,False,False,False,0,0
1365,Not Fraud,6,1.0,1,3,1,0.0,2.0,2,2,3.0,5.0,2,False,False,False,False,0,0
1366,Fraud,0,0.0,1,1,1,0.0,1.0,1,1,3.0,40.0,0,False,False,False,False,0,0
1401,Fraud,0,0.0,1,1,1,0.0,999.0,2,3,1.0,20.0,0,False,False,False,False,0,1
1408,Not Fraud,11,0.0,1,1,0,0.0,4.0,4,4,1.0,35.0,6,False,False,False,False,1,0
1412,Not Fraud,8,0.0,1,1,1,0.0,11.0,11,11,1.0,51.0,4,False,False,False,False,0,0
1417,Not Fraud,8,1.0,1,4,1,0.0,8.0,8,8,3.0,5.0,42,False,False,False,False,0,0
