,channels,delivery_method,show_map,user_type,has_logo,org_facebook,sale_duration,sale_duration2,num_ticket_type,median_ticket_cost,total_tickets_sold,nan_delivery_method,nan_org_facebook,nan_num_ticket_type,nan_median_ticket_cost,payout_type_CHECK,payout_type_MISSING
124,12,0.0,1,3,1,0.0,143.0,143,1.0,6.5,268,False,False,False,False,0,0
125,11,0.0,1,3,1,22.0,44.0,44,2.0,22.63,49,False,False,False,False,0,0
126,8,1.0,1,3,0,12.0,25.0,27,3.0,3.73,16,False,False,False,False,0,0
127,11,1.0,1,3,1,0.0,85.0,87,14.0,10.76,182,False,False,False,False,0,0
128,0,0.0,1,1,1,0.0,9.0,9,2.0,300.0,9,False,False,False,False,0,0
129,8,0.0,0,3,1,0.0,14.0,21,1.0,8.46,3,False,False,False,False,1,0
130,6,0.0,0,3,1,0.0,0.0,0,1.0,140.76,1,False,False,False,False,0,0
131,11,0.0,1,1,1,0.0,4.0,4,3.0,350.0,3,False,False,False,False,0,0
132,11,1.0,1,4,1,0.0,41.0,41,4.0,234.31,17,False,False,False,False,0,0
133,8,0.0,1,3,1,0.0,0.0,0,2.0,24.86,5,False,False,False,False,0,0
134,5,1.0,1,3,0,0.0,65.0,65,6.0,52.685,17,False,False,False,False,0,0
135,11,1.0,1,3,1,8.0,79.0,79,7.0,3.73,274,False,False,False,False,1,0
136,11,0.0,1,4,1,0.0,10.0,10,2.0,0.0,2,False,False,False,False,1,0
137,8,0.0,1,3,0,34.0,70.0,70,2.0,5.0,7,False,False,False,False,0,0
138,0,1.0,1,3,1,14.0,64.0,64,2.0,2.515,35,False,False,False,False,0,0
139,5,0.0,1,1,1,0.0,29.0,29,2.0,47.5,81,False,False,False,False,0,0
140,6,0.0,0,3,1,0.0,1.0,1,1.0,140.76,3,False,False,False,False,0,0
141,6,1.0,1,3,1,0.0,116.0,116,1.0,92.9,92,False,False,False,False,0,0
142,4,0.0,1,4,0,0.0,42.0,42,2.0,12.5,23,False,False,False,False,1,0
144,13,0.0,1,1,1,0.0,5.0,5,7.0,190.0,2,False,False,False,False,0,0
145,8,0.0,1,3,1,0.0,189.0,189,2.0,162.515,15,False,False,False,False,0,0
146,5,0.0,1,3,1,24.0,16.0,16,1.0,20.0,8,False,False,False,False,0,0
147,8,0.0,1,3,1,7.0,28.0,28,3.0,21.01,2,False,False,False,False,0,0
148,11,1.0,1,3,1,0.0,56.0,56,4.0,34.5,66,False,False,False,False,0,0
149,5,0.0,1,1,0,0.0,-3.0,0,2.0,91.875,0,False,False,False,False,0,0
150,5,0.0,1,4,1,0.0,22.0,22,1.0,50.0,22,False,False,False,False,0,0
151,11,1.0,1,4,1,5.0,18.0,18,5.0,84.06,27,False,False,False,False,1,0
152,8,0.0,1,3,1,40.0,-37.0,-37,2.0,80.0,58,False,False,False,False,0,0
153,5,0.0,1,3,1,43.0,21.0,22,2.0,7.5,46,False,False,False,False,0,0
154,0,0.0,1,4,0,18.0,0.0,0,8.0,75.0,16,False,False,False,False,0,0
155,0,1.0,1,3,1,14.0,19.0,19,2.0,7.26,17,False,False,False,False,0,0
156,6,0.0,0,3,0,0.0,19.0,19,1.0,55.0,8,False,False,False,False,0,0
157,6,0.0,1,3,1,0.0,21.0,21,1.0,44.0,23,False,False,False,False,1,0
158,4,0.0,1,1,1,0.0,70.0,153,2.0,37.5,5,False,False,False,False,0,0
159,8,1.0,0,3,1,0.0,190.0,190,2.0,15.0,6,False,False,False,False,0,0
160,8,1.0,0,3,1,0.0,212.0,212,2.0,15.0,11,False,False,False,False,0,0
161,5,0.0,1,1,0,0.0,11.0,11,1.0,8.46,1,False,False,False,False,0,0
162,0,0.0,0,4,1,0.0,40.0,40,2.0,0.0,0,False,False,False,False,0,0
163,11,1.0,1,3,0,0.0,145.0,145,6.0,210.095,200,False,False,False,False,0,0
164,8,1.0,1,3,1,0.0,33.0,38,2.0,2.5,7,False,False,False,False,0,0
165,11,1.0,1,3,1,14.0,178.0,178,4.0,717.55,21,False,False,False,False,1,0
166,8,1.0,1,3,1,0.0,38.0,115,5.0,0.0,288,False,False,False,False,0,0
167,6,1.0,1,3,1,15.0,54.0,54,1.0,70.0,11,False,False,False,False,1,0
168,0,0.0,1,3,1,11.0,4.0,4,1.0,25.0,5,False,False,False,False,0,0
169,5,0.0,1,3,0,8.0,38.0,39,2.0,6.555,33,False,False,False,False,0,0
170,8,0.0,1,3,1,18.0,22.0,23,4.0,15.545,28,False,False,False,False,0,0
171,5,0.0,1,3,1,17.0,12.0,12,3.0,10.0,12,False,False,False,False,0,0
172,5,0.0,1,1,1,15.0,186.0,186,1.0,10.0,16,False,False,False,False,0,0
173,4,0.0,1,3,1,0.0,19.0,19,2.0,52.5,2,False,False,False,False,1,0
174,11,1.0,1,4,1,13.0,38.0,157,8.0,1041.665,433,False,False,False,False,1,0
175,0,1.0,1,3,1,0.0,78.0,78,8.0,361.025,10,False,False,False,False,0,0
176,0,1.0,1,3,1,0.0,0.0,0,17.0,30.0,2,False,False,False,False,0,0
177,5,0.0,1,1,1,0.0,1.0,1,1.0,100.0,0,False,False,False,False,0,0
178,11,0.0,1,4,1,10.0,11.0,15,1.0,48.99,30,False,False,False,False,0,0
179,5,0.0,1,1,1,7.0,72.0,72,3.0,18.0,180,False,False,False,False,0,0
180,11,1.0,1,3,1,0.0,91.0,98,9.0,22.85,51,False,False,False,False,0,0
181,6,0.0,1,1,1,0.0,5.0,5,4.0,160.0,0,False,False,False,False,0,0
182,10,0.0,1,4,1,0.0,5.0,5,1.0,5.06,4,False,False,False,False,1,0
183,12,0.0,1,1,1,0.0,1.0,1,3.0,200.0,4,False,False,False,False,0,1
184,5,1.0,1,3,1,9.0,25.0,25,1.0,8.41,33,False,False,False,False,0,0
185,8,0.0,1,1,1,0.0,38.0,41,2.0,7.5,78,False,False,False,False,0,0
186,13,0.0,1,3,0,0.0,153.0,155,1.0,45.0,13,False,False,False,False,0,0
187,8,1.0,0,1,1,0.0,151.0,153,10.0,20.0,0,False,False,False,False,0,1
188,5,0.0,1,1,1,12.0,21.0,21,2.0,12.5,21,False,False,False,False,1,0
189,8,0.0,1,3,1,14.0,80.0,80,3.0,28.0,7,False,False,False,False,0,0
190,8,1.0,1,1,1,10.0,67.0,67,3.0,200.0,82,False,False,False,False,0,0
191,11,1.0,1,4,1,0.0,128.0,128,2.0,34.445,444,False,False,False,False,0,0
192,11,1.0,1,3,1,0.0,106.0,114,4.0,417.5,9,False,False,False,False,0,0
193,8,1.0,0,3,0,0.0,0.0,3,3.0,65.0,37,False,False,False,False,1,0
194,5,0.0,1,4,1,16.0,20.0,21,1.0,22.51,13,False,False,False,False,0,0
195,5,0.0,1,1,1,25.0,7.0,7,1.0,15.0,50,False,False,False,False,0,0
196,0,0.0,1,3,1,9.0,116.0,116,1.0,350.0,10,False,False,False,False,0,0
197,10,0.0,1,4,1,20.0,9.0,9,1.0,100.0,7,False,False,False,False,0,0
198,0,0.0,1,3,1,0.0,19.0,19,3.0,35.0,31,False,False,False,False,0,0
199,11,0.0,1,3,1,19.0,78.0,78,1.0,75.0,240,False,False,False,False,1,0
200,8,1.0,1,3,1,14.0,48.0,48,3.0,114.4,12,False,False,False,False,0,0
201,8,1.0,1,3,1,23.0,87.0,89,2.0,21.675,15,False,False,False,False,0,0
202,5,0.0,1,1,1,0.0,1.0,1,1.0,100.0,0,False,False,False,False,0,0
203,8,0.0,1,4,1,23.0,46.0,46,1.0,13.11,13,False,False,False,False,0,0
204,8,0.0,1,3,1,0.0,26.0,26,1.0,15.0,12,False,False,False,False,0,0
205,6,1.0,1,3,1,8.0,32.0,36,2.0,121.86,53,False,False,False,False,1,0
206,13,0.0,1,4,1,0.0,0.0,0,1.0,300.0,6,False,False,False,False,0,0
207,5,1.0,1,3,1,35.0,15.0,15,1.0,30.0,19,False,False,False,False,0,0
208,11,1.0,1,3,1,7.0,54.0,55,12.0,669.05,17,False,False,False,False,0,0
209,10,0.0,1,3,1,25.0,84.0,84,1.0,3.73,4,False,False,False,False,1,0
210,11,0.0,0,4,0,0.0,27.0,27,1.0,5.0,10,False,False,False,False,1,0
211,5,0.0,1,4,1,0.0,24.0,24,1.0,5.0,9,False,False,False,False,1,0
212,5,0.0,1,1,1,0.0,87.0,87,1.0,40.0,0,False,False,False,False,0,1
213,0,1.0,0,4,1,0.0,57.0,59,1.0,17.91,256,False,False,False,False,1,0
214,8,1.0,1,3,1,0.0,60.0,64,2.0,46.755,27,False,False,False,False,1,0
215,0,0.0,1,1,1,0.0,17.0,17,2.0,130.0,4,False,False,False,False,1,0
217,0,0.0,1,3,1,11.0,40.0,40,2.0,40.0,44,False,False,False,False,1,0
218,8,0.0,1,3,1,6.0,63.0,63,2.0,150.0,13,False,False,False,False,0,0
219,11,0.0,1,1,1,10.0,999.0,20,2.0,7.5,0,False,False,False,False,0,1
220,6,0.0,1,3,1,20.0,19.0,24,2.0,100.0,8,False,False,False,False,0,0
221,6,1.0,1,1,0,0.0,9.0,9,6.0,62.5,1,False,False,False,False,0,0
222,8,1.0,1,3,1,48.0,39.0,39,2.0,22.85,9,False,False,False,False,0,0
223,11,1.0,1,4,1,9.0,38.0,39,4.0,135.55,47,False,False,False,False,0,0
224,8,1.0,1,3,1,0.0,85.0,85,1.0,35.0,35,False,False,False,False,0,0
225,8,1.0,1,3,1,12.0,28.0,28,1.0,8.46,2,False,False,False,False,1,0
226,8,1.0,1,3,1,0.0,16.0,16,4.0,15.545,99,False,False,False,False,1,0
227,5,0.0,1,3,1,0.0,58.0,58,3.0,0.91,69,False,False,False,False,1,0
228,8,0.0,1,1,1,0.0,29.0,29,1.0,25.0,5,False,False,False,False,0,0
229,6,0.0,1,3,1,35.0,14.0,14,2.0,3.0,2,False,False,False,False,0,0
230,11,1.0,1,3,1,14.0,24.0,30,2.0,32.085,51,False,False,False,False,1,0
231,5,0.0,1,4,1,0.0,10.0,11,1.0,25.0,6,False,False,False,False,1,0
232,11,0.0,1,3,1,15.0,75.0,80,6.0,37.5,26,False,False,False,False,0,0
233,8,0.0,1,4,1,0.0,29.0,29,2.0,13.185,23,False,False,False,False,1,0
234,11,1.0,1,4,1,20.0,30.0,30,1.0,70.26,14,False,False,False,False,0,0
235,8,1.0,0,4,1,0.0,68.0,68,1.0,55.71,46,False,False,False,False,0,0
236,10,1.0,0,3,1,11.0,12.0,12,4.0,90.495,5,False,False,False,False,0,0
238,8,3.0,1,3,1,9.0,35.0,35,2.0,34.445,16,False,False,False,False,0,0
239,8,0.0,0,3,1,10.0,9.0,9,2.0,2.5,22,False,False,False,False,0,0
240,8,1.0,1,3,1,48.0,80.0,94,6.0,7.5,821,False,False,False,False,1,0
241,8,1.0,1,3,1,12.0,122.0,122,3.0,27.36,96,False,False,False,False,0,0
242,11,0.0,1,3,1,20.0,8.0,8,2.0,34.445,8,False,False,False,False,0,0
243,5,0.0,1,4,1,0.0,38.0,38,2.0,12.5,107,False,False,False,False,0,0
244,5,1.0,1,3,1,36.0,151.0,151,2.0,92.41,1,False,False,False,False,0,0
245,8,1.0,0,4,1,0.0,13.0,13,1.0,35.0,8,False,False,False,False,0,0
246,6,0.0,1,3,1,0.0,17.0,19,1.0,10.35,5,False,False,False,False,0,0
247,0,0.0,1,3,1,13.0,18.0,18,2.0,50.0,6,False,False,False,False,0,0
248,8,0.0,1,1,0,0.0,40.0,40,1.0,150.0,0,False,False,False,False,0,0
249,11,0.0,1,1,1,21.0,45.0,45,2.0,10.0,43,False,False,False,False,1,0
250,5,0.0,1,3,1,0.0,8.0,8,1.0,50.0,0,False,False,False,False,0,0
251,11,1.0,1,1,1,25.0,141.0,178,2.0,242.345,29,False,False,False,False,0,0
252,8,1.0,1,4,0,0.0,27.0,27,1.0,5.0,5,False,False,False,False,0,0
253,8,1.0,1,3,0,12.0,25.0,25,1.0,40.0,22,False,False,False,False,0,0
254,12,0.0,1,1,0,20.0,37.0,37,8.0,11.0,45,False,False,False,False,1,0
255,11,0.0,1,3,1,23.0,18.0,18,3.0,10.0,13,False,False,False,False,0,0
256,8,1.0,1,3,1,48.0,270.0,270,1.0,234.01,12,False,False,False,False,0,0
257,0,0.0,1,3,0,18.0,0.0,2,11.0,18.0,1611,False,False,False,False,0,0
258,11,1.0,1,3,1,32.0,41.0,41,6.0,7.67,162,False,False,False,False,0,0
259,0,0.0,1,3,0,0.0,40.0,40,2.0,23.13,0,False,False,False,False,1,0
260,11,0.0,1,3,1,0.0,15.0,30,1.0,22.51,69,False,False,False,False,0,0
261,11,1.0,1,3,1,20.0,79.0,84,3.0,1731.2,30,False,False,False,False,0,0
262,0,0.0,1,1,0,0.0,-1094.0,-1094,2.0,2.505,1,False,False,False,False,0,0
263,8,0.0,1,1,0,0.0,4.0,4,1.0,310.0,0,False,False,False,False,0,0
264,8,1.0,1,3,1,17.0,60.0,60,1.0,8.75,16,False,False,False,False,0,0
265,5,1.0,1,3,1,16.0,28.0,30,2.0,15.545,112,False,False,False,False,1,0
266,0,0.0,1,3,1,14.0,80.0,122,1.0,27.5,73,False,False,False,False,0,0
267,5,0.0,1,3,1,0.0,65.0,65,1.0,97.0,9,False,False,False,False,0,0
268,11,1.0,1,3,0,11.0,61.0,61,1.0,10.39,86,False,False,False,False,0,0
269,0,0.0,1,4,1,0.0,15.0,20,1.0,50.0,25,False,False,False,False,1,0
270,8,1.0,1,4,1,0.0,64.0,64,2.0,25.0,19,False,False,False,False,0,0
271,5,0.0,1,4,1,45.0,16.0,16,2.0,55.0,2,False,False,False,False,0,0
272,0,0.0,1,1,1,8.0,18.0,18,1.0,163.51,1,False,False,False,False,0,0
273,6,0.0,1,1,1,0.0,33.0,34,2.0,95.0,22,False,False,False,False,1,0
274,10,1.0,1,1,1,0.0,81.0,81,5.0,15.0,54,False,False,False,False,0,0
275,0,0.0,0,3,0,0.0,0.0,0,1.0,90.0,0,False,False,False,False,0,0
276,6,1.0,1,3,1,0.0,104.0,104,3.0,6.4,4,False,False,False,False,0,0
277,8,0.0,1,3,1,0.0,40.0,40,2.0,125.0,5,False,False,False,False,0,0
278,11,0.0,1,3,1,0.0,276.0,278,1.0,30.0,136,False,False,False,False,0,0
279,5,1.0,1,4,1,0.0,161.0,161,2.0,17.81,55,False,False,False,False,0,0
280,6,1.0,0,4,1,16.0,43.0,43,1.0,36.81,27,False,False,False,False,0,0
281,8,1.0,1,3,1,9.0,247.0,247,3.0,100.0,7,False,False,False,False,1,0
283,6,1.0,1,3,1,9.0,25.0,25,4.0,8.08,65,False,False,False,False,0,0
284,6,0.0,1,1,1,0.0,69.0,70,2.0,20.0,314,False,False,False,False,0,0
285,11,0.0,1,3,1,0.0,41.0,41,1.0,0.0,22,False,False,False,False,0,0
286,0,1.0,0,3,1,0.0,11.0,11,1.0,8.75,2,False,False,False,False,0,0
287,5,1.0,1,3,1,12.0,63.0,63,1.0,6.01,5,False,False,False,False,0,0
289,0,0.0,1,1,0,0.0,999.0,40,999.0,999.0,0,False,False,True,True,0,1
290,8,0.0,1,3,1,0.0,29.0,30,2.0,5.0,127,False,False,False,False,0,0
291,6,1.0,0,3,1,45.0,0.0,0,1.0,20.0,26,False,False,False,False,1,0
292,0,0.0,1,3,0,19.0,36.0,54,4.0,17.5,26,False,False,False,False,0,0
294,11,1.0,1,3,1,8.0,37.0,37,2.0,51.465,34,False,False,False,False,0,0
295,6,0.0,1,1,1,7.0,15.0,15,2.0,212.19,8,False,False,False,False,0,0
296,5,0.0,1,1,1,0.0,10.0,10,1.0,140.0,0,False,False,False,False,0,1
297,8,0.0,1,3,1,0.0,52.0,52,1.0,75.0,12,False,False,False,False,0,0
298,5,0.0,1,4,1,0.0,15.0,15,2.0,7.5,3,False,False,False,False,0,0
299,6,1.0,0,3,1,0.0,3.0,3,4.0,124.5,6,False,False,False,False,0,0
300,8,1.0,1,4,1,91.0,105.0,105,2.0,1295.0,38,False,False,False,False,0,0
301,5,0.0,1,4,1,15.0,27.0,27,2.0,37.5,108,False,False,False,False,0,0
302,0,0.0,0,4,1,39.0,4.0,4,1.0,332.8,1,False,False,False,False,0,0
303,5,0.0,1,1,1,15.0,254.0,254,5.0,79.33,542,False,False,False,False,0,0
304,0,1.0,0,1,1,0.0,94.0,94,1.0,26.52,8,False,False,False,False,1,0
305,6,1.0,1,1,1,23.0,67.0,80,7.0,55.0,110,False,False,False,False,0,0
306,12,0.0,1,3,1,9.0,92.0,92,2.0,11.0,31,False,False,False,False,0,0
307,0,0.0,0,3,1,0.0,6.0,6,1.0,10.0,0,False,False,False,False,0,1
308,0,1.0,1,1,1,16.0,64.0,64,3.0,8.51,146,False,False,False,False,0,0
309,8,1.0,1,1,1,0.0,114.0,124,8.0,95.0,127,False,False,False,False,0,0
310,8,0.0,1,3,1,0.0,86.0,86,3.0,15.0,14,False,False,False,False,0,0
